interview,model,note_file,strict_f1,lenient_f1,rouge1_f1,rouge2_f1,rougeL_f1,sari,bertscore_f1,medcon
New Recording 32,gemma3_4b,New Recording 32_gemma3_4b.txt,0.03703703703703704,0.03703703703703704,0.042808219178082196,0.0034305317324185253,0.029109589041095896,1.0,0.7867537140846252,0.2
New Recording 32,llama3.2_3b,New Recording 32_llama3.2_3b.txt,0.25637910085054677,0.25637910085054677,0.26799714896650034,0.08993576017130621,0.15680684248039917,1.0,0.7875931262969971,0.5333333333333333
New Recording 32,deepseek-r1,New Recording 32_deepseek-r1.txt,0.1904198698994678,0.1904198698994678,0.19610670511896178,0.044765342960288806,0.10958904109589042,1.0,0.7759353518486023,0.42857142857142855
New Recording 32,qwen2.5_3b,New Recording 32_qwen2.5_3b.txt,0.30127462340672073,0.30127462340672073,0.31241473396998637,0.09562841530054644,0.13778990450204637,1.0,0.7932244539260864,0.7777777777777777
New Recording 29,deepseek-r1,New Recording 29_deepseek-r1.txt,0.2501313715186548,0.2501313715186548,0.22868217054263568,0.06080206985769728,0.11498708010335919,1.0,0.7675438523292542,0.8571428571428571
New Recording 29,qwen2.5_3b,New Recording 29_qwen2.5_3b.txt,0.2993762993762994,0.2993762993762994,0.3032178217821782,0.09541511771995043,0.14603960396039603,1.0,0.7886922359466553,0.6153846153846153
New Recording 29,llama3.2_3b,New Recording 29_llama3.2_3b.txt,0.24015748031496065,0.24015748031496065,0.2528301886792453,0.06926952141057935,0.14088050314465408,1.0,0.7742725014686584,0.6153846153846153
New Recording 29,gemma3_4b,New Recording 29_gemma3_4b.txt,0.18811309867282172,0.18811309867282172,0.20194986072423396,0.07252440725244072,0.1309192200557103,1.0,0.7691648602485657,0.6
New Recording 34,gemma3_4b,New Recording 34_gemma3_4b.txt,0.2713178294573643,0.2713178294573643,0.2893081761006289,0.10708661417322833,0.18553459119496857,1.0,0.7728277444839478,0.625
New Recording 34,llama3.2_3b,New Recording 34_llama3.2_3b.txt,0.2901353965183752,0.2901353965183752,0.31491294473883424,0.12282031842304776,0.20439061317183954,1.0,0.7933434247970581,0.5333333333333333
New Recording 34,deepseek-r1,New Recording 34_deepseek-r1.txt,0.23506493506493503,0.23506493506493503,0.2664526484751204,0.10289389067524117,0.1492776886035313,1.0,0.7765921354293823,0.7142857142857143
New Recording 34,qwen2.5_3b,New Recording 34_qwen2.5_3b.txt,0.22627737226277375,0.22627737226277375,0.22731128074639526,0.08836023789294818,0.12722646310432567,1.0,0.7851902842521667,0.5454545454545454
