note_path,model_used,model_size,clinical_accuracy,completeness,conciseness,clarity,hallucination
notes/data/consults/pilon_fractures/20250328_221701_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/pilon_fractures/20250328_221728_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,3.0,No
notes/data/consults/pilon_fractures/20250328_221701_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/pilon_fractures/20250328_221701_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/pilon_fractures/20250328_221728_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/pilon_fractures/20250328_221728_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/pilon_fractures/20250328_221728_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/pilon_fractures/20250328_221701_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/ankle_fractures/20250328_220540_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,4.0,No
notes/data/consults/ankle_fractures/20250328_220540_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/ankle_fractures/20250328_220518_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/ankle_fractures/20250328_220518_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,3.0,No
notes/data/consults/ankle_fractures/20250328_220540_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/ankle_fractures/20250328_220540_gemma3_4b.txt,gemma3,4b,4.0,3.0,4.0,3.0,No
notes/data/consults/ankle_fractures/20250328_220518_qwen2.5_3b.txt,qwen2.5,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/ankle_fractures/20250328_220518_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221754_gemma3_4b.txt,gemma3,4b,4.0,5.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221754_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,4.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221817_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221817_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221754_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221754_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221817_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/scapular_fractures/20250328_221817_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221256_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221256_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221326_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221326_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221256_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221326_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221256_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/scaphoid_fractures/20250328_221326_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/distal_radius_fractures/20250328_220426_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/distal_radius_fractures/20250328_220452_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/distal_radius_fractures/20250328_220426_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/distal_radius_fractures/20250328_220452_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/distal_radius_fractures/20250328_220452_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/distal_radius_fractures/20250328_220426_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/distal_radius_fractures/20250328_220452_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/distal_radius_fractures/20250328_220426_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,3.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220912_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,4.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220850_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220912_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220850_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220850_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,5.0,4.0,3.0,2.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220912_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,3.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220912_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,3.0,No
notes/data/consults/fifth_metatarsal_fracture/20250328_220850_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/elbow_fractures/20250328_221207_llama3.2_3b.txt,llama3.2,3b,4.0,5.0,3.0,3.0,No
notes/data/consults/elbow_fractures/20250328_221231_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,2.0,No
notes/data/consults/elbow_fractures/20250328_221231_gemma3_4b.txt,gemma3,4b,5.0,4.0,3.0,2.0,No
notes/data/consults/elbow_fractures/20250328_221207_deepseek-r1_1.5b.txt,deepseek-r1,1.5b,4.0,5.0,3.0,3.0,No
notes/data/consults/elbow_fractures/20250328_221207_qwen2.5_3b.txt,qwen2.5,3b,5.0,4.0,3.0,2.0,No
notes/data/consults/elbow_fractures/20250328_221231_llama3.2_3b.txt,llama3.2,3b,5.0,4.0,3.0,2.0,No
